kind`tsource`ttranslation
name	Cyberrat Wing	赛博鼠翼
description	Used by Subprogram messengers.\nDoes no damage, but grants a\nquick escape.	供子程序信使使用.\n不造成伤害,但能帮助你\n快速脱身.
name	Bomba Head	爆弹头部
description	This head has a built-in mine\ndeployment system.	这个头部内置了地雷\n部署系统.
name	Megafist Arm	巨拳手臂
description	A typical fighter part. Packs\nquite a punch!	标准的战士零件.\n拳劲十足!
name	Mega Core	巨型核心
description	A protective core for fighter\nMegacs.	为战斗型 Megac 提供保护的\n核心.
name	Hammer Head	锤头
description	A compact head part for the\nhard-headed Megac.	为硬脑壳 Megac 设计的\n紧凑头部零件.
name	Mega Hip	巨型腰部
description	Very hip.	非常潮.
name	Mega Leg	巨型腿部
description	Commonly found in Lost\nMegaclopolis.	常见于失落的\nMegac 都城.
name	Mega Shoulder	巨型肩部
description	A sturdy shoulder part.	坚固的肩部零件.
name	Standard Arm	标准手臂
description	The basic of arms. Every Megac\nhas one laying around somewhere.	最基础的手臂.每个 Megac\n总会在某处放着一个.
name	Standard Core	标准核心
description	The basic of cores. It does\nnothing.	最基础的核心.\n它什么也不做.
name	Standard Head	标准头部
description	The basic of heads. Not very\nuseful, but can be worn\ncasually.	最基础的头部.没什么用,\n但可以随便戴着.
name	Standard Hip	标准腰部
description	The basic of hips. Every Megac\nstarts out with one of these.	最基础的腰部.每个 Megac\n一开始都有一个.
name	Standard Leg	标准腿部
description	The basic of Legs.	最基础的腿部.
name	Standard Shoulder	标准肩部
description	The basic of shoulders.	最基础的肩部.
name	Electrocrush Dyna-arm	电击粉碎动力手臂
description	A gauntlet with a ruthless\nspirit favored by warlords.\nThere might be more to this\npart...	一只深受军阀喜爱的,\n带有残酷气息的护手.\n这个零件或许还有更多秘密...
name	Big Core	巨型核心
description	It's pretty big.	它非常大.
name	Rhintro Head	犀角头部
description	It has long been known that\nspikes can make everything\nbetter.	众所周知,尖刺能让一切\n变得更好.
name	Armored Dyna-hip	装甲动力腰部
description	A hip containing a strong power\nsource.	内含强力能源的腰部.
name	Drill Leg	钻头腿部
description	A leg part capable of drilling\nthrough any type of\ndestructible blocks.	能钻穿任何类型\n可破坏方块的腿部零件.
name	Aero Pipes	气动管道
description	Compressing air to increase\nyour attack speed.	压缩空气以提高\n你的攻击速度.
name	Imperial Blaster	帝国爆能枪
description	A ranged weapon favored by the\nEmpire.	深受帝国青睐的\n远程武器.
name	Polycircuit Core	多回路核心
description	Polycircuit type parts have\nan increased electrical\nconductance, boosting movement.	多回路系列零件具备更高的\n导电性,可提升移动能力.
name	Polycircuit Head	多回路头部
description	This Polycircuit type part can\nconcentrate electrical current\nand release it to launch.	这个多回路系列零件能集中\n电流,并将其释放用于发射.
name	Polycircuit Hip	多回路腰部
description	Polycircuit type parts have\nan increased electrical\nconductance.	多回路系列零件具备更高的\n导电性.
name	Polycircuit Leg	多回路腿部
description	Polycircuit type parts have\nan increased electrical\nconductance, boosting movement.	多回路系列零件具备更高的\n导电性,可提升移动能力.
name	Polycircuit Shoulder	多回路肩部
description	Polycircuit type parts have\nan increased electrical\nconductance, boosting movement.	多回路系列零件具备更高的\n导电性,可提升移动能力.
name	Megabyte Arm	兆字节手臂
description	A legendary part. It is said\nthat the original owner used it\nto punch the creators of the\nworld, thereby claiming\nindependence.	传说级零件.据说最初的拥有者\n用它痛殴世界的创造者,\n由此赢得独立.
name	Boom-blaster	轰爆器
description	A blast-boom output device.	爆破输出装置.
name	Voltra Arm	超伏手臂
description	A strangely shaped arm part\nfrom the Ancient Tech Ruins.	来自古代科技遗迹的,\n形状奇特的手臂零件.
name	Voltra Core	超伏核心
description	When lost Megacs invaded\nthe depths of the Ancient Tech\nRuins, they brought up\nmysterious parts like these\nVoltra types.	当失魂 Megac 入侵古代科技遗迹\n深处时,它们带来了这些神秘的\n超伏系列零件.
name	Voltra Turban	超伏头巾
description	This part is known as valuable\ntreasure. But unfortunately, it's\nconsidered bad luck to buy or\nsell them.	这件零件被视为珍贵宝物.\n但不幸的是,人们认为买卖它们\n会带来厄运.
name	Voltra Belt	超伏腰带
description	A mysterious Voltra type hip.\nThe Megac world has yet to\nunderstand exactly how they\nwork.	神秘的超伏系列腰部.\nMegac 世界至今仍未完全理解\n它们的运作方式.
name	Kheprion Arm	Kheprion 手臂
description	Because this Kheprion part is\nalso found in Ancient Tech Ruins,\nit implies a connection between\nthe Khoteps and the Ruins.	这件 Kheprion 零件同样发现于\n古代科技遗迹,暗示 Khoteps\n与遗迹之间存在联系.
name	Kheprion Core	Kheprion 核心
description	A core that originates from\nthe lands ruled by the Khotep.	源自 Khotep 统治地区的核心.
name	Tri-eyed Kheprion Head	三眼 Kheprion 头部
description	A trademark head part of the\nKhoteps, a governing power in\nfar off lands.	Khoteps 的标志性头部零件.\nKhoteps 是遥远土地的\n统治力量.
name	Kheprion Hip	Kheprion 腰部
description	A powerful hip favored by the\nKhoteps.	深受 Khoteps 青睐的\n强力腰部.
name	Kheprion Leg	Kheprion 腿部
description	Quite large but very agile, \noften used by lords.	体型庞大却非常灵活,\n常被领主使用.
name	Kheprion Wing	Kheprion 翼
description	Normally worn by Khoteps, a\nbody of power that opposes the\nEmpire.	通常由 Khoteps 穿戴.\n他们是与帝国对立的\n强大势力.
name	Voltra Leg	超伏腿部
description	A very mobile and streamlined\nleg part.	机动性强且流线型的\n腿部零件.
name	Voltra Shoulder	超伏肩部
description	A part found in the Ancient Tech\nRuins. It seems to be an\nornament indicating social status.	发现于古代科技遗迹的零件.\n似乎是代表社会地位的\n装饰品.
name	Submachine Gun-arm	冲锋枪手臂
description	Bringin' the pain, eight rounds at\na time.	一次八发,痛苦奉上.
name	R.A.M. Core	R.A.M. 核心
description	A part specifically designed for\nuse in combat.	专为战斗用途设计的\n零件.
name	R.A.M. Head	R.A.M. 头部
