# source<TAB>translation.  UTF-8; the atlas build script includes every target glyph.
adventure	冒险模式
fight	对战模式
options	选项
mods	模组
quit	退出游戏
continue	继续
new game	新游戏
back	返回
yes	是
no	否
1 player	1 名玩家
2 players	2 名玩家
3 players	3 名玩家
4 players	4 名玩家
select players	选择玩家人数
select mode	选择模式
tournament	锦标赛
versus	对战
input	操作设置
graphics	图像设置
audio	音频设置
aa	抗锯齿
res	分辨率
setRes	应用分辨率
fullscr	全屏
vsync	垂直同步
ok	确定
sound volume	音效音量
music volume	音乐音量
reset	重置
player 1	玩家 1
player 2	玩家 2
player 3	玩家 3
player 4	玩家 4
default arrow keys	默认方向键
default wasd keys	默认 WASD 键
default gamepad	默认手柄
gamepad	手柄
right	右
left	左
up	上
down	下
space	空格
return	回车
enter	回车
backspace	退格
left ctrl	左 Ctrl
right ctrl	右 Ctrl
left shift	左 Shift
right shift	右 Shift
left alt	左 Alt
right alt	右 Alt
left cmd	左 Cmd
right cmd	右 Cmd
mouse 0	鼠标 0
joystick 1 button 0	手柄 1 按键 0
LS Hor 1	左摇杆横轴 1
LS Vert 1	左摇杆纵轴 1
RS Hor 1	右摇杆横轴 1
RS Vert 1	右摇杆纵轴 1
PadHor 1	十字键横轴 1
PadVert 1	十字键纵轴 1
LT 1	左扳机 1
RT 1	右扳机 1
attack	攻击
specialAbility	特殊能力
special ability	特殊能力
jump	跳跃
block	格挡
thrust	冲刺
openInventory	打开背包
open inventory	打开背包
pause	暂停
on	开
off	关
sound	音效
music	音乐
level	关卡
timer	计时器
set	设置
player	玩家
input settings	操作设置
audio settings	音频设置
graphics settings	图像设置
versus options	对战选项
anti-alias	抗锯齿
resolution	分辨率
fullscreen	全屏
play again!	再来一局！
you were deleted!	你被击败了！
rematch	再战
to lobby	返回大厅
lives	生命数
timeLimit	时间限制
are you mega sure?	确定要开始新游戏吗？
this will delete all your progress!	这会删除全部游戏进度！
use default gamepad controls?	使用默认手柄按键吗？
LOADED MODS	已加载的模组
MODS	模组
ChineseLocalization	简体中文
<  Prev	<  上一页
Next  >	下一页  >
